Kepler ID,KOI Name,Kepler Name,Kepler Disposition,NExScI Disposition,RA (J2000),Dec (J2000),Time of Transit Epoch,Period,Transit Depth,Duration,Ingress Duration,Impact Parameter,Inclination,Semi-major Axis,Eccentricity,Long of Periastron,r/R,a/R,Planet Radius,Teq,Teff,log(g),Metallicity,Stellar Radius,Stellar Mass,Age,Provenance,Quarters,Transit Number,KOI count,Binary Discrimination,Transit Model,Transit Model SNR,Transit Model DOF,Transit Model chisq,Last vet Update,DV Report,DV Summary,Transit Flag,Secondary Flag,Offset Flag,Contamination Flag,Disposition Score
757450,K00889.01,Kepler-75 b,CANDIDATE,CONFIRMED,19 24 33.024,+36 34 38.57,169.991686,8.884922995,16053.4,2.07004,,0.069,89.89,0.079,0,,0.114,36.466,10.51,770,5332,4.5,-0.08,0.843,0.821,,q1_q17_dr25_stellar,1.11111E+31,153,1,0.106,Mandel and Agol (2002 ApJ 580 171),388.2,,,5/10/2017 0:00,/missions/kepler/dv_files/0007/000757450/kplr000757450-20160209194854_dvr.pdf,/missions/kepler/dv_files/0007/000757450/kplr000757450-01-20160209194854_dvs.pdf,0,0,0,0,0.999
892772,K01009.01,,FALSE POSITIVE,FALSE POSITIVE,19 24 36.811,+36 40 43.83,357.53594,5.09246539,254,3.659,,0.161,89.14,0.052,0,,0.014,10.67,1.17,844,5037,4.547,-0.2,0.751,0.727,,q1_q17_dr25_stellar,1.11111E+28,225,1,0.969,Mandel and Agol (2002 ApJ 580 171),17.1,,,5/10/2017 0:00,/missions/kepler/dv_files/0008/000892772/kplr000892772-20160209194854_dvr.pdf,/missions/kepler/dv_files/0008/000892772/kplr000892772-01-20160209194854_dvs.pdf,0,0,1,0,0
1025986,K07621.01,,FALSE POSITIVE,FALSE POSITIVE,19 24 08.086,+36 46 15.75,315.2486,275.07365,228.9,3.37,,0.595,89.93,0.789,0,,0.014,512,1.86,303,5604,4.226,-0.12,1.187,0.864,,q1_q17_dr25_stellar,1.11111E+31,4,1,0.878,Mandel and Agol (2002 ApJ 580 171),7.5,,,5/10/2017 0:00,/missions/kepler/dv_files/0010/001025986/kplr001025986-20160209194854_dvr.pdf,/missions/kepler/dv_files/0010/001025986/kplr001025986-01-20160209194854_dvs.pdf,1,0,0,0,0
1026032,K06252.01,,FALSE POSITIVE,FALSE POSITIVE,19 24 10.577,+36 43 45.38,133.7744903,8.460438928,76412.9,4.73492,,1.061,85.68,0.075,0,,0.478,14.087,36.62,804,5951,4.638,-1.06,0.702,0.796,,q1_q17_dr25_stellar,1.11111E+31,164,1,0,Mandel and Agol (2002 ApJ 580 171),1797.4,,,5/10/2017 0:00,/missions/kepler/dv_files/0010/001026032/kplr001026032-20160209194854_dvr.pdf,/missions/kepler/dv_files/0010/001026032/kplr001026032-01-20160209194854_dvs.pdf,0,1,0,0,0
1026957,K00958.01,,CANDIDATE,CANDIDATE,19 25 01.078,+36 44 37.00,166.540438,21.76129812,1300.7,1.243,,0.123,89.95,0.14,0,,0.032,137.07,2.53,486,4859,4.612,0,0.72,0.781,,q1_q17_dr25_stellar,1.11111E+31,62,1,0.212,Mandel and Agol (2002 ApJ 580 171),60,,,5/10/2017 0:00,/missions/kepler/dv_files/0010/001026957/kplr001026957-20160209194854_dvr.pdf,/missions/kepler/dv_files/0010/001026957/kplr001026957-01-20160209194854_dvs.pdf,0,0,0,0,1
1027438,K01010.01,,FALSE POSITIVE,FALSE POSITIVE,19 25 24.967,+36 47 04.27,145.83537,110.6157662,,5,,,,,,,,,,,,,,,,,,,,1,,,,,,12/4/2014 0:00,,,0,0,0,0,
1161345,K00984.01,,CANDIDATE,CANDIDATE,19 24 11.712,+36 50 23.58,262.06245,4.28746668,790.1,1.5693,,0.374,88.93,0.05,0,,0.026,19.94,2.29,942,5296,4.576,0.12,0.815,0.911,,q1_q17_dr25_stellar,1.11111E+31,313,1,0.152,Mandel and Agol (2002 ApJ 580 171),19.4,,,5/10/2017 0:00,/missions/kepler/dv_files/0011/001161345/kplr001161345-20160209194854_dvr.pdf,/missions/kepler/dv_files/0011/001161345/kplr001161345-01-20160209194854_dvs.pdf,0,0,0,0,0.711
1161949,K04920.01,,FALSE POSITIVE,FALSE POSITIVE,19 24 42.722,+36 52 28.49,366.0309,473.95103,330.6,11.778,,0.167,89.95,1.283,0,,0.017,308,3.32,341,6513,4.02,-0.14,1.81,1.252,,stellar_q1_q16,,,1,,Mandel and Agol (2002 ApJ 580 171),9.6,,,12/4/2014 0:00,,,1,0,0,0,
1164301,K04921.01,,FALSE POSITIVE,FALSE POSITIVE,19 26 46.070,+36 52 53.07,224.2893,95.688682,453.8,6.465,,0.55,89.95,0.59,0,,0.02,97.2,28.41,1046,5040,2.681,0.07,13.056,2.981,,stellar_q1_q16,,,1,,Mandel and Agol (2002 ApJ 580 171),9.8,,,12/4/2014 0:00,,,1,0,0,0,
1293031,K04162.01,,FALSE POSITIVE,FALSE POSITIVE,19 24 05.033,+36 54 13.13,131.97457,0.53936593,145,5.434,,0.988,12.57,0.017,0,,0.016,1.012,9.19,5016,6341,3.301,-0.1,5.302,2.05,,q1_q17_dr25_stellar,1.11111E+31,1239,1,0.999,Mandel and Agol (2002 ApJ 580 171),57.6,,,5/10/2017 0:00,/missions/kepler/dv_files/0012/001293031/kplr001293031-20160209194854_dvr.pdf,/missions/kepler/dv_files/0012/001293031/kplr001293031-01-20160209194854_dvs.pdf,1,0,0,0,0
